Data Year,Region Name,AMP Resistance Percentage,AUG Resistance Percentage,AXO Resistance Percentage,CHL Resistance Percentage,CIP Resistance Percentage,COT Resistance Percentage,FIS Resistance Percentage,FOX Resistance Percentage,GEN Resistance Percentage,NAL Resistance Percentage,STR Resistance Percentage,TET Resistance Percentage,Total Resistance Percentage
2015,Region 4,7.89,1.32,1.32,0.0,0.0,2.63,5.26,1.32,1.32,7.89,6.58,3.95,39.480000000000004
2015,Region 5,5.83,0.0,0.0,0.0,0.0,0.97,0.97,0.0,0.0,12.62,2.91,2.91,26.21
2015,Region 6,10.87,4.35,0.0,2.17,0.0,6.52,6.52,0.0,0.0,21.74,6.52,8.7,67.39
2015,Region 7,3.57,3.57,0.0,0.0,0.0,0.0,0.0,3.57,0.0,3.57,0.0,0.0,14.28
2015,Region 8,4.35,0.0,0.0,0.0,0.0,8.7,8.7,0.0,0.0,0.0,17.39,17.39,56.53
2015,Region 9,5.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,5.0,0.0,2.5,15.0
2016,Region 1,16.67,5.56,5.56,0.0,0.0,11.11,11.11,5.56,0.0,11.11,11.11,16.67,94.46000000000001
2016,Region 10,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,8.34
2016,Region 2,8.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,18.0,8.0,10.0,54.0
2016,Region 3,5.56,1.85,1.85,1.85,0.0,0.0,3.7,1.85,0.0,18.52,0.0,7.41,42.59
2016,Region 4,2.9,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,4.35,4.35,2.9,15.95
2016,Region 5,5.77,0.96,0.96,1.92,0.0,0.0,1.92,0.96,0.0,12.5,1.92,3.85,30.759999999999998
2016,Region 6,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,11.76,2.94,8.82,35.28
2016,Region 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,2.86,0.0,11.43
2016,Region 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,26.09,30.439999999999998
2016,Region 9,20.0,4.0,0.0,8.0,0.0,4.0,20.0,0.0,0.0,20.0,24.0,12.0,112.0
2017,Region 1,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,41.67,0.0,4.17,50.010000000000005
2017,Region 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0
2017,Region 2,2.38,0.0,0.0,2.38,0.0,2.38,0.0,0.0,0.0,40.48,0.0,2.38,50.0
2017,Region 3,4.76,2.38,2.38,7.14,0.0,0.0,7.14,2.38,0.0,33.33,7.14,9.52,76.16999999999999
2017,Region 4,7.59,0.0,0.0,0.0,0.0,0.0,5.06,0.0,0.0,11.39,6.33,8.86,39.23
2017,Region 5,1.96,0.0,0.0,0.0,0.0,0.98,1.96,0.98,0.0,20.59,3.92,1.96,32.35
2017,Region 6,2.94,2.94,2.94,0.0,0.0,2.94,2.94,2.94,0.0,5.88,0.0,2.94,26.46
2017,Region 7,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82,0.0,2.56,17.94
2017,Region 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,5.26,15.79
2017,Region 9,2.5,0.0,0.0,2.5,0.0,2.5,5.0,0.0,0.0,12.5,2.5,5.0,32.5
